,Filename,Eint_H2O,original_SMILES,CanonSMILES,Class_label,tail_atom_ids_r1,tail_atom_ids_r2
300,C-CN_CC_CN-N,-0.162704,C(CN=CC=CN)N,NC=CC=NCCN,1,"(0, 1)","(2,)"
301,CCNCCN,-0.037018,CCNCCN,CCNCCN,1,"(0, 1)","(2,)"
302,C-_CN-C_CN,-0.352853,C(=CN)C=CN,NC=CC=CN,1,"(4, 5)","(3,)"
306,CC_NC_CN_CN,-0.042984,CC=NC=CN=CN,CC=NC=CN=CN,1,"(0, 1)","(2,)"
307,CCN_CC_NN,-0.069983,CCN=CC=NN,CCN=CC=NN,1,"(0, 1)","(2,)"
308,C-CN_CC-_O-O-N,-0.43357,C(CN=CC(=O)O)N,NCCN=CC(=O)O,1,"(5, 6)","(4, 7)"
310,CCNCN,-0.051984,CCNCN,CCNCN,1,"(0, 1)","(2,)"
311,C-CN-CN,-0.329288,C(CN)CN,NCCCN,1,"(3, 4)","(2,)"
312,CC_NCN,-0.047485,CC=NCN,CC=NCN,1,"(0, 1)","(2,)"
313,CCN_CN,-0.050204,CCN=CN,CCN=CN,1,"(0, 1)","(2,)"
314,CCN_CN_CN,-0.049721,CCN=CN=CN,CCN=CN=CN,1,"(0, 1)","(2,)"
315,C-CN_CN_CN-N,-0.183244,C(CN=CN=CN)N,NC=NC=NCCN,1,"(0, 1)","(2,)"
316,C-CNCN_CN-N,-0.129374,C(CNCN=CN)N,NC=NCNCCN,1,"(0, 1)","(2,)"
317,CCNCNN,-0.043847,CCNCNN,CCNCNN,1,"(0, 1)","(2,)"
318,C-_CN-C_NN,-0.287471,C(=CN)C=NN,NC=CC=NN,1,"(0, 1)","(2,)"
319,C-CN_CN-N,-0.193264,C(CN=CN)N,NC=NCCN,1,"(0, 1)","(2,)"
320,C-CN-CNN,-0.344946,C(CN)CNN,NCCCNN,1,"(0, 1)","(2,)"
321,C-CNCN-N,-0.328747,C(CNCN)N,NCCNCN,1,"(4, 5)","(3,)"
322,CCN_CNN,-0.072359,CCN=CNN,CCN=CNN,1,"(0, 1)","(2,)"
323,C-_CN_CN-N_CN,-0.217797,C(=CN=CN)N=CN,NC=NC=CN=CN,1,"(6, 7)","(5,)"
324,C-CN_CN-NCN,-0.224864,C(CN=CN)NCN,NC=NCCNCN,1,"(0, 1)","(2,)"
325,C-CN-CNN_CN,-0.347054,C(CN)CNN=CN,NC=NNCCCN,1,"(6, 7)","(5,)"
328,CCNCN_NN,-0.087752,CCNCN=NN,CCNCN=NN,1,"(0, 1)","(2,)"
329,C-CN-CON,-0.345514,C(CN)CON,NCCCON,1,"(0, 1)","(2,)"
330,C-CNCO-N,-0.258871,C(CNCO)N,NCCNCO,1,"(4, 5)","(3,)"
331,C-CNC-_O-O-N,-0.488783,C(CNC(=O)O)N,NCCNC(=O)O,1,"(4, 5)","(3, 6)"
332,C-_CN-N,-0.345807,C(=CN)N,NC=CN,1,"(2, 3)","(1,)"
333,CC_NN,-0.174162,CC=NN,CC=NN,1,"(0, 1)","(2,)"
334,CCNNC1_CC_C-C_C1-N,-0.036794,CCNNC1=CC=C(C=C1)N,CCNNc1ccc(N)cc1,1,"(0, 1)","(2,)"
335,CCNNCN,-0.021041,CCNNCN,CCNNCN,1,"(0, 1)","(2,)"
336,CC_NN_CN,-0.022728,CC=NN=CN,CC=NN=CN,1,"(0, 1)","(2,)"
337,C-C_NN_CN-N,-0.153026,C(C=NN=CN)N,NC=NN=CCN,1,"(0, 1)","(2,)"
338,C-CNN_CN-N,-0.229688,C(CNN=CN)N,NC=NNCCN,1,"(0, 1)","(2,)"
339,C-CNNC-_O-O-N,-0.424217,C(CNNC(=O)O)N,NCCNNC(=O)O,1,"(5, 6)","(4, 7)"
340,CCNNN,-0.113843,CCNNN,CCNNN,1,"(0, 1)","(2,)"
341,C-CNN-N,-0.347489,C(CNN)N,NCCNN,1,"(3, 4)","(2,)"
342,CCN_NN,-0.05068,CCN=NN,CCN=NN,1,"(0, 1)","(2,)"
343,C-_CNN-NN,-0.351968,C(=CNN)NN,NNC=CNN,1,"(4, 5)","(3,)"
345,C-CNN-NN,-0.274512,C(CNN)NN,NNCCNN,1,"(4, 5)","(3,)"
346,C-CNNN-N,-0.459135,C(CNNN)N,NCCNNN,1,"(4, 5)","(3,)"
348,C-CN_NN-NN,-0.238646,C(CN=NN)NN,NN=NCCNN,1,"(0, 1)","(2,)"
349,C-C_NO-N,-0.171201,C(C=NO)N,NCC=NO,1,"(3, 4)","(2,)"
350,C-CNO-N,-0.169513,C(CNO)N,NCCNO,1,"(3, 4)","(2,)"
351,CC_NON,-0.064682,CC=NON,CC=NON,1,"(0, 1)","(2,)"
352,CCOC1_CC_C-C_C1-CN,-0.019834,CCOC1=CC=C(C=C1)CN,CCOc1ccc(CN)cc1,1,"(0, 1)","(2,)"
353,CCOC1_CC_C-C_C1-N,-0.036904,CCOC1=CC=C(C=C1)N,CCOc1ccc(N)cc1,1,"(0, 1)","(2,)"
354,CCOC1_CC_C-C_C1-N_CN,-0.030244,CCOC1=CC=C(C=C1)N=CN,CCOc1ccc(N=CN)cc1,1,"(0, 1)","(2,)"
355,CCOC1_CC_C-C_C1-NN,-0.021544,CCOC1=CC=C(C=C1)NN,CCOc1ccc(NN)cc1,1,"(0, 1)","(2,)"
356,CCOC1_CC_C-C_C1-ON,-0.038704,CCOC1=CC=C(C=C1)ON,CCOc1ccc(ON)cc1,1,"(0, 1)","(2,)"
357,CCOCC1_CC_C-C_C1-N,-0.032924,CCOCC1=CC=C(C=C1)N,CCOCc1ccc(N)cc1,1,"(0, 1)","(2,)"
358,CCOCCN,-0.03871,CCOCCN,CCOCCN,1,"(0, 1)","(2,)"
359,CCOC_CN,-0.10561,CCOC=CN,CCOC=CN,1,"(0, 1)","(2,)"
360,C-COCC-_O-O-N,-0.356941,C(COCC(=O)O)N,NCCOCC(=O)O,1,"(5, 6)","(4, 7)"
361,CCOCN,-0.094436,CCOCN,CCOCN,1,"(0, 1)","(2,)"
362,CCOCNN,-0.033188,CCOCNN,CCOCNN,1,"(0, 1)","(2,)"
363,C-COCN-N,-0.372873,C(COCN)N,NCCOCN,1,"(4, 5)","(3,)"
364,CCOC_NN,-0.062392,CCOC=NN,CCOC=NN,1,"(0, 1)","(2,)"
365,C-CO-CON,-0.198988,C(CO)CON,NOCCCO,1,"(4, 5)","(3,)"
366,C-COC_O-N,-0.183886,C(COC=O)N,NCCOC=O,1,"(4, 5)","(3,)"
367,C-COCO-N,-0.197149,C(COCO)N,NCCOCO,1,"(4, 5)","(3,)"
368,C-COC-_O-O-N,-0.297715,C(COC(=O)O)N,NCCOC(=O)O,1,"(4, 5)","(3, 6)"
369,C-_CO-N,-0.305468,C(=CO)N,NC=CO,1,"(2, 3)","(1,)"
370,C-CO-N,-0.228196,C(CO)N,NCCO,1,"(2, 3)","(1,)"
371,CCONC1_CC_C-C_C1-N,-0.082334,CCONC1=CC=C(C=C1)N,CCONc1ccc(N)cc1,1,"(0, 1)","(2,)"
372,C-CO-N_CC_NN,-0.236497,C(CO)N=CC=NN,NN=CC=NCCO,1,"(6, 7)","(5,)"
373,CCONCN,-0.052803,CCONCN,CCONCN,1,"(0, 1)","(2,)"
374,C-C_O-NCN,-0.137913,C(C=O)NCN,NCNCC=O,1,"(4, 5)","(3,)"
375,C-C_O-N_CN,-0.13298,C(C=O)N=CN,NC=NCC=O,1,"(4, 5)","(3,)"
376,C-CO-NCN,-0.22925,C(CO)NCN,NCNCCO,1,"(4, 5)","(3,)"
377,C-CO-N_CN,-0.126558,C(CO)N=CN,NC=NCCO,1,"(4, 5)","(3,)"
378,CCON_CN,-0.069637,CCON=CN,CCON=CN,1,"(0, 1)","(2,)"
379,C-CON_CN-N,-0.14784,C(CON=CN)N,NC=NOCCN,1,"(0, 1)","(2,)"
380,C-CON_CN-NN,-0.166744,C(CON=CN)NN,NC=NOCCNN,1,"(0, 1)","(2,)"
381,C-CON_CN-ON,-0.224294,C(CON=CN)ON,NC=NOCCON,1,"(0, 1)","(2,)"
382,C-CONC-_O-O-N,-0.430078,C(CONC(=O)O)N,NCCONC(=O)O,1,"(5, 6)","(4, 7)"
383,CCONN,-0.046247,CCONN,CCONN,1,"(0, 1)","(2,)"
384,C-CO-NN,-0.210206,C(CO)NN,NNCCO,1,"(3, 4)","(2,)"
385,C-CON-N,-0.135861,C(CON)N,NCCON,1,"(3, 4)","(2,)"
386,C-C_O-NNN,-0.357904,C(C=O)NNN,NNNCC=O,1,"(4, 5)","(3,)"
387,C-CO-N_NN,-0.213781,C(CO)N=NN,NN=NCCO,1,"(4, 5)","(3,)"
388,C-CON-NN,-0.303283,C(CON)NN,NNCCON,1,"(4, 5)","(3,)"
389,C-CONN-N,-0.196206,C(CONN)N,NCCONN,1,"(4, 5)","(3,)"
390,C-_CON-ON,-0.255491,C(=CON)ON,NOC=CON,1,"(0, 1)","(2,)"
391,C-CON-ON,-0.268337,C(CON)ON,NOCCON,1,"(0, 1)","(2,)"
392,CCOOC1_CC_C-C_C1-N,-0.038414,CCOOC1=CC=C(C=C1)N,CCOOc1ccc(N)cc1,1,"(0, 1)","(2,)"
393,CCOON,-0.039112,CCOON,CCOON,1,"(0, 1)","(2,)"
395,C-C-_O-O-NCN,-0.360414,C(C(=O)O)NCN,NCNCC(=O)O,1,"(4, 5)","(3, 6)"
396,C-C-_O-O-N_CN,-0.467341,C(C(=O)O)N=CN,NC=NCC(=O)O,1,"(4, 5)","(3, 6)"
397,C-C-_O-O-N_CNN,-0.326516,C(C(=O)O)N=CNN,NNC=NCC(=O)O,1,"(5, 6)","(4, 7)"
398,C-C-_O-O-NCON,-0.37028,C(C(=O)O)NCON,NOCNCC(=O)O,1,"(5, 6)","(4, 7)"
399,C-C-_O-O-NN,-0.365755,C(C(=O)O)NN,NNCC(=O)O,1,"(3, 4)","(2, 5)"
400,C-C-_O-O-NNN,-0.356009,C(C(=O)O)NNN,NNNCC(=O)O,1,"(4, 5)","(3, 6)"
401,C-C-_O-O-N_NN,-0.353217,C(C(=O)O)N=NN,NN=NCC(=O)O,1,"(4, 5)","(3, 6)"
402,C-C-_O-O-NON,-0.381008,C(C(=O)O)NON,NONCC(=O)O,1,"(4, 5)","(3, 6)"
403,C-C-_O-O-OCN,-0.350868,C(C(=O)O)OCN,NCOCC(=O)O,1,"(4, 5)","(3, 6)"
404,C-C-_O-O-OCON,-0.366005,C(C(=O)O)OCON,NOCOCC(=O)O,1,"(5, 6)","(4, 7)"
405,C-C-_O-O-ON,-0.359943,C(C(=O)O)ON,NOCC(=O)O,1,"(3, 4)","(2, 5)"
